acid_id,acid_name,formula,concentration_pct,temperature_c,density_kg_l
nitric,硝酸,HNO3,1,0,1.0058
nitric,硝酸,HNO3,1,5,1.00572
nitric,硝酸,HNO3,1,10,1.00534
nitric,硝酸,HNO3,1,15,1.00464
nitric,硝酸,HNO3,1,20,1.00364
nitric,硝酸,HNO3,1,25,1.00241
nitric,硝酸,HNO3,1,30,1.0009
nitric,硝酸,HNO3,1,40,0.9973
nitric,硝酸,HNO3,1,50,0.9931
nitric,硝酸,HNO3,1,60,0.9882
nitric,硝酸,HNO3,1,80,0.9767
nitric,硝酸,HNO3,1,100,0.9632
nitric,硝酸,HNO3,2,0,1.0117
nitric,硝酸,HNO3,2,5,1.01149
nitric,硝酸,HNO3,2,10,1.01099
nitric,硝酸,HNO3,2,15,1.01018
nitric,硝酸,HNO3,2,20,1.00909
nitric,硝酸,HNO3,2,25,1.00778
nitric,硝酸,HNO3,2,30,1.0061
nitric,硝酸,HNO3,2,40,1.0025
nitric,硝酸,HNO3,2,50,0.9982
nitric,硝酸,HNO3,2,60,0.9932
nitric,硝酸,HNO3,2,80,0.9816
nitric,硝酸,HNO3,2,100,0.9681
nitric,硝酸,HNO3,3,0,1.0176
nitric,硝酸,HNO3,3,5,1.0173
nitric,硝酸,HNO3,3,10,1.01668
nitric,硝酸,HNO3,3,15,1.01576
nitric,硝酸,HNO3,3,20,1.01457
nitric,硝酸,HNO3,3,25,1.01318
nitric,硝酸,HNO3,3,30,1.0114
nitric,硝酸,HNO3,3,40,1.0077
nitric,硝酸,HNO3,3,50,1.0033
nitric,硝酸,HNO3,3,60,0.9982
nitric,硝酸,HNO3,3,80,0.9865
nitric,硝酸,HNO3,3,100,0.973
nitric,硝酸,HNO3,4,0,1.0236
nitric,硝酸,HNO3,4,5,1.02315
nitric,硝酸,HNO3,4,10,1.0224
nitric,硝酸,HNO3,4,15,1.02137
nitric,硝酸,HNO3,4,20,1.02008
nitric,硝酸,HNO3,4,25,1.01861
nitric,硝酸,HNO3,4,30,1.0168
nitric,硝酸,HNO3,4,40,1.0129
nitric,硝酸,HNO3,4,50,1.0084
nitric,硝酸,HNO3,4,60,1.0033
nitric,硝酸,HNO3,4,80,0.9915
nitric,硝酸,HNO3,4,100,0.9779
nitric,硝酸,HNO3,5,0,1.0296
nitric,硝酸,HNO3,5,5,1.02904
nitric,硝酸,HNO3,5,10,1.02816
nitric,硝酸,HNO3,5,15,1.02702
nitric,硝酸,HNO3,5,20,1.02563
nitric,硝酸,HNO3,5,25,1.02408
nitric,硝酸,HNO3,5,30,1.0222
nitric,硝酸,HNO3,5,40,1.0182
nitric,硝酸,HNO3,5,50,1.0136
nitric,硝酸,HNO3,5,60,1.0084
nitric,硝酸,HNO3,5,80,0.9965
nitric,硝酸,HNO3,5,100,0.9829
nitric,硝酸,HNO3,6,0,1.0357
nitric,硝酸,HNO3,6,5,1.03497
nitric,硝酸,HNO3,6,10,1.03397
nitric,硝酸,HNO3,6,15,1.03272
nitric,硝酸,HNO3,6,20,1.03122
nitric,硝酸,HNO3,6,25,1.02958
nitric,硝酸,HNO3,6,30,1.0277
nitric,硝酸,HNO3,6,40,1.0235
nitric,硝酸,HNO3,6,50,1.0188
nitric,硝酸,HNO3,6,60,1.0136
nitric,硝酸,HNO3,6,80,1.0015
nitric,硝酸,HNO3,6,100,0.9879
nitric,硝酸,HNO3,7,0,1.0418
nitric,硝酸,HNO3,7,5,1.041
nitric,硝酸,HNO3,7,10,1.0399
nitric,硝酸,HNO3,7,15,1.0385
nitric,硝酸,HNO3,7,20,1.0369
nitric,硝酸,HNO3,7,25,1.0352
nitric,硝酸,HNO3,7,30,1.0333
nitric,硝酸,HNO3,7,40,1.0289
nitric,硝酸,HNO3,7,50,1.0241
nitric,硝酸,HNO3,7,60,1.0188
nitric,硝酸,HNO3,7,80,1.0066
nitric,硝酸,HNO3,7,100,0.9929
nitric,硝酸,HNO3,8,0,1.048
nitric,硝酸,HNO3,8,5,1.0471
nitric,硝酸,HNO3,8,10,1.0458
nitric,硝酸,HNO3,8,15,1.0443
nitric,硝酸,HNO3,8,20,1.0427
nitric,硝酸,HNO3,8,25,1.0409
nitric,硝酸,HNO3,8,30,1.0389
nitric,硝酸,HNO3,8,40,1.0344
nitric,硝酸,HNO3,8,50,1.0295
nitric,硝酸,HNO3,8,60,1.0241
nitric,硝酸,HNO3,8,80,1.0117
nitric,硝酸,HNO3,8,100,0.998
nitric,硝酸,HNO3,9,0,1.0543
nitric,硝酸,HNO3,9,5,1.0532
nitric,硝酸,HNO3,9,10,1.0518
nitric,硝酸,HNO3,9,15,1.0502
nitric,硝酸,HNO3,9,20,1.0485
nitric,硝酸,HNO3,9,25,1.0466
nitric,硝酸,HNO3,9,30,1.0446
nitric,硝酸,HNO3,9,40,1.0399
nitric,硝酸,HNO3,9,50,1.0349
nitric,硝酸,HNO3,9,60,1.0294
nitric,硝酸,HNO3,9,80,1.0169
nitric,硝酸,HNO3,9,100,1.0032
nitric,硝酸,HNO3,10,0,1.0606
nitric,硝酸,HNO3,10,5,1.0594
nitric,硝酸,HNO3,10,10,1.0578
nitric,硝酸,HNO3,10,15,1.0561
nitric,硝酸,HNO3,10,20,1.0543
nitric,硝酸,HNO3,10,25,1.0523
nitric,硝酸,HNO3,10,30,1.0503
nitric,硝酸,HNO3,10,40,1.0455
nitric,硝酸,HNO3,10,50,1.0403
nitric,硝酸,HNO3,10,60,1.0347
nitric,硝酸,HNO3,10,80,1.0221
nitric,硝酸,HNO3,10,100,1.0083
nitric,硝酸,HNO3,11,0,1.0669
nitric,硝酸,HNO3,11,5,1.0656
nitric,硝酸,HNO3,11,10,1.0639
nitric,硝酸,HNO3,11,15,1.0621
nitric,硝酸,HNO3,11,20,1.0602
nitric,硝酸,HNO3,11,25,1.0581
nitric,硝酸,HNO3,11,30,1.056
nitric,硝酸,HNO3,11,40,1.0511
nitric,硝酸,HNO3,11,50,1.0458
nitric,硝酸,HNO3,11,60,1.0401
nitric,硝酸,HNO3,11,80,1.0273
nitric,硝酸,HNO3,11,100,1.0134
nitric,硝酸,HNO3,12,0,1.0733
nitric,硝酸,HNO3,12,5,1.0718
nitric,硝酸,HNO3,12,10,1.07
nitric,硝酸,HNO3,12,15,1.0681
nitric,硝酸,HNO3,12,20,1.0661
nitric,硝酸,HNO3,12,25,1.064
nitric,硝酸,HNO3,12,30,1.0618
nitric,硝酸,HNO3,12,40,1.0567
nitric,硝酸,HNO3,12,50,1.0513
nitric,硝酸,HNO3,12,60,1.0455
nitric,硝酸,HNO3,12,80,1.0326
nitric,硝酸,HNO3,12,100,1.0186
nitric,硝酸,HNO3,13,0,1.0797
nitric,硝酸,HNO3,13,5,1.0781
nitric,硝酸,HNO3,13,10,1.0762
nitric,硝酸,HNO3,13,15,1.0742
nitric,硝酸,HNO3,13,20,1.0721
nitric,硝酸,HNO3,13,25,1.0699
nitric,硝酸,HNO3,13,30,1.0676
nitric,硝酸,HNO3,13,40,1.0624
nitric,硝酸,HNO3,13,50,1.0568
nitric,硝酸,HNO3,13,60,1.0509
nitric,硝酸,HNO3,13,80,1.0379
nitric,硝酸,HNO3,13,100,1.0238
nitric,硝酸,HNO3,14,0,1.0862
nitric,硝酸,HNO3,14,5,1.0845
nitric,硝酸,HNO3,14,10,1.0824
nitric,硝酸,HNO3,14,15,1.0803
nitric,硝酸,HNO3,14,20,1.0781
nitric,硝酸,HNO3,14,25,1.0758
nitric,硝酸,HNO3,14,30,1.0735
nitric,硝酸,HNO3,14,40,1.0681
nitric,硝酸,HNO3,14,50,1.0624
nitric,硝酸,HNO3,14,60,1.0564
nitric,硝酸,HNO3,14,80,1.0432
nitric,硝酸,HNO3,14,100,1.0289
nitric,硝酸,HNO3,15,0,1.0927
nitric,硝酸,HNO3,15,5,1.0909
nitric,硝酸,HNO3,15,10,1.0887
nitric,硝酸,HNO3,15,15,1.0865
nitric,硝酸,HNO3,15,20,1.0842
nitric,硝酸,HNO3,15,25,1.0818
nitric,硝酸,HNO3,15,30,1.0794
nitric,硝酸,HNO3,15,40,1.0739
nitric,硝酸,HNO3,15,50,1.068
nitric,硝酸,HNO3,15,60,1.0619
nitric,硝酸,HNO3,15,80,1.0485
nitric,硝酸,HNO3,15,100,1.0341
nitric,硝酸,HNO3,16,0,1.0992
nitric,硝酸,HNO3,16,5,1.0973
nitric,硝酸,HNO3,16,10,1.095
nitric,硝酸,HNO3,16,15,1.0927
nitric,硝酸,HNO3,16,20,1.0903
