category,category_name,item_id,item_name,formula,molar_mass_g_mol,basis,concentration_pct,temperature_c,density_kg_l
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,1.0,-5.0,1.0048
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,2.0,-5.0,1.0104
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,4.0,-5.0,1.0213
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,6.0,-5.0,1.0321
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,8.0,-5.0,1.0428
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,10.0,-5.0,1.0536
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,12.0,-5.0,1.0645
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,14.0,-5.0,1.0754
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,16.0,-5.0,1.0864
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,18.0,-5.0,1.0975
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,20.0,-5.0,1.1087
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,22.0,-5.0,1.12
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,24.0,-5.0,1.1314
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,26.0,-5.0,1.1426
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,28.0,-5.0,1.1537
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,30.0,-5.0,1.1648
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,32.0,-5.0,1.1814
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,34.0,-5.0,1.1929
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,36.0,-5.0,1.2043
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,38.0,-5.0,1.2156
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,0,0,0.99984283
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,1.0,0.0,1.0052
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,2.0,0.0,1.0106
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,4.0,0.0,1.0213
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,6.0,0.0,1.0319
