化学式,结晶水,0℃,10℃,20℃,25℃,30℃,40℃,50℃,60℃,70℃,80℃,90℃,100℃
$\text{AgNO}_3$,,127.0,165.0,211.0,234.0,261.0,318.0,381,446.0,517,585,652,720
$\text{BaCl}_2$,无水,30.4,33.12,35.74,37.04,38.3,40.8,43.41,46.05,48.83,51.84,55.13,58.86
$\text{BaCl}_2$,二水,37.6,41.21,44.69,46.42,48.1,51.5,55.06,58.69,62.57,66.80,71.49,76.87
$\text{Ba(NO}_3)_2$,,4.93,6.72,8.93,10.3,11.4,14.2,17.2,20.5,23.9,27.4,30.7,34.2
$\text{Ba(OH)}_2$,无水,1.67,2.48,3.89,4.68,5.59,8.22,13.1,20.9,-,101.4,-,-
$\text{Ba(OH)}_2$,八水,3.12,4.66,7.4,8.97,10.8,16.3,27.1,46.7,-,(熔融),-,-
$\text{CaCl}_2$,无水,58.0,64.45,72.8,81.26,96.54,112.1,127.5,131.1,135.0,139.3,144.1,149.6
$\text{CaCl}_2$,二水,94.7,108.0,126.0,146.2,186.3,233.5,288.2,302.4,318.4,336.9,358.7,385.3
$\text{Ca(NO}_3)_2$,,100.0,113.0,131.0,144.0,156.0,189.0,350,357.0,359,361,363,365
$\text{Cd(NO}_3)_2$,无水,124.0,133.0,148.0,156.0,169.0,199.0,240,619.0,641,658,675,694
$\text{Cd(NO}_3)_2$,四水,260.1,291.8,351.8,388.1,454.8,659.9,1166,(熔融),-,-,-,-
$\text{CoCl}_2$,无水,43.5,48.4,53.54,56.23,59.0,64.66,70.59,76.87,83.5,90.51,98.06,106
$\text{CoCl}_2$,六水,125.0,149.0,177.0,193.7,212.0,256.6,313.7,391.3,502,672.9,(熔融),-
$\text{CoSO}_4$,无水,24.8,29.9,35.3,38.3,41.2,47.7,52.4,56.0,55.0,49.7,44.1,38.5
$\text{CoSO}_4$,七水,56.3,71.7,89.8,101.0,112.0,141,166,187,181,151,125,102
$\text{CuCl}_2$,无水,68.9,71.5,74.2,75.7,77.6,81.2,85.2,89.4,94.2,99.6,105,111
$\text{CuCl}_2$,二水,107.0,112.0,117.0,120.0,124.0,132,140,149,160,172,185,200
$\text{Cu(NO}_3)_2\cdot 3\text{H}_2\text{O}$,,139,179,264.0,321,370,397,434,491,562,666,821,1071
$\text{CuSO}_4$,无水,14.2,16.8,20.0,22.0,23.9,28.5,34.0,40.4,47.9,57.0,67.5,77.0
$\text{CuSO}_4$,五水,24.1,29.0,35.3,39.3,43.2,53.1,65.8,81.9,103,131,171,213
$\text{FeCl}_3$,无水,74.5,81.5,91.9,91.2,107.0,297.0,329,549.0,537,537,541,554
$\text{FeCl}_3$,六水,247.0,297.0,395.0,387.0,621.4,(熔融),-,-,-,-,-,-
$\text{FeSO}_4\cdot 7\text{H}_2\text{O}$,,28.8,40.0,48.0,,60.0,73.3,,100.7,,79.9,68.3,57.8
$\text{H}_2\text{C}_2\text{O}_4\cdot 2\text{H}_2\text{O}$,,4.96,8.51,13.3,16.6,19.9,30.1,44.3,62.1,-,118,168,-
$\text{H}_3\text{BO}_3$,,2.68,3.7,5.01,5.8,6.69,8.81,11.5,14.8,18.9,23.9,30.0,37.6
$\text{HgCl}_2$,,4.4,5.3,6.6,7.3,8.2,10.5,13.7,17.9,23.7,31.7,42.7,57.8
$\text{K}_2\text{C}_2\text{O}_4$,无水,22.4,26.5,30.4,32.8,35.0,39.2,-,47.3,-,56.9,-,67.1
$\text{K}_2\text{C}_2\text{O}_4$,一水,25.4,30.2,34.9,37.7,40.3,45.4,-,55.3,-,67.2,-,80.2
$\text{K}_2\text{Cr}_2\text{O}_7$,,4.49,7.67,12.2,15.1,18.3,26.3,35.7,46.4,58.5,70.9,83.5,95.7
